species,genus,family
Columba_livia,Columba,Columbidae
Columba_elphinstonii,Columba,Columbidae
Streptopelia_decaocto,Streptopelia,Columbidae
Spilopelia_chinensis,Spilopelia,Columbidae
Spilopelia_senegalensis,Spilopelia,Columbidae
Chalcophaps_indica,Chalcophaps,Columbidae
Treron_affinis,Treron,Columbidae
Treron_phoenicopterus,Treron,Columbidae
Ducula_aenea,Ducula,Columbidae
Centropus_sinensis,Centropus,Cuculidae
Centropus_bengalensis,Centropus,Cuculidae
Taccocua_leschenaultii,Taccocua,Cuculidae
Phaenicophaeus_viridirostris,Phaenicophaeus,Cuculidae
Eudynamys_scolopaceus,Eudynamys,Cuculidae
Cacomantis_sonneratii,Cacomantis,Cuculidae
Cacomantis_passerinus,Cacomantis,Cuculidae
Surniculus_dicruroides,Surniculus,Cuculidae
Hierococcyx_varius,Hierococcyx,Cuculidae
Cuculus_micropterus,Cuculus,Cuculidae
Harpactes_fasciatus,Harpactes,Trogonidae
Ocyceros_birostris,Ocyceros,Bucerotidae
Ocyceros_griseus,Ocyceros,Bucerotidae
Anthracoceros_coronatus,Anthracoceros,Bucerotidae
Nyctyornis_athertoni,Nyctyornis,Meropidae
Merops_orientalis,Merops,Meropidae
Merops_leschenaulti,Merops,Meropidae
Coracias_benghalensis,Coracias,Coraciidae
Psilopogon_malabaricus,Psilopogon,Megalaimidae
Psilopogon_haemacephalus,Psilopogon,Megalaimidae
Psilopogon_zeylanicus,Psilopogon,Megalaimidae
Psilopogon_viridis,Psilopogon,Megalaimidae
Picumnus_innominatus,Picumnus,Picidae
Hemicircus_canente,Hemicircus,Picidae
Yungipicus_nanus,Yungipicus,Picidae
Leiopicus_mahrattensis,Leiopicus,Picidae
Chrysocolaptes_guttacristatus,Chrysocolaptes,Picidae
Chrysocolaptes_festivus,Chrysocolaptes,Picidae
Micropternus_brachyurus,Micropternus,Picidae
Dinopium_javanense,Dinopium,Picidae
Dinopium_benghalense,Dinopium,Picidae
Picus_chlorolophus,Picus,Picidae
Picus_xanthopygaeus,Picus,Picidae
Dryocopus_javensis,Dryocopus,Picidae
Psittacula_eupatria,Psittacula,Psittacidae
Psittacula_krameri,Psittacula,Psittacidae
Psittacula_cyanocephala,Psittacula,Psittacidae
Psittacula_columboides,Psittacula,Psittacidae
Loriculus_vernalis,Loriculus,Psittacidae
Pericrocotus_cinnamomeus,Pericrocotus,Campephagidae
Pericrocotus_flammeus,Pericrocotus,Campephagidae
Coracina_macei,Coracina,Campephagidae
Lalage_melanoptera,Lalage,Campephagidae
Oriolus_chinensis,Oriolus,Oriolidae
Oriolus_xanthornus,Oriolus,Oriolidae
Artamus_fuscus,Artamus,Artamidae
Tephrodornis_sylvicola,Tephrodornis,Vangidae
Tephrodornis_pondicerianus,Tephrodornis,Vangidae
Hemipus_picatus,Hemipus,Vangidae
Aegithina_tiphia,Aegithina,Aegithinidae
Aegithina_nigrolutea,Aegithina,Aegithinidae
Rhipidura_albogularis,Rhipidura,Rhipiduridae
Rhipidura_aureola,Rhipidura,Rhipiduridae
Dicrurus_macrocercus,Dicrurus,Dicruridae
Dicrurus_leucophaeus,Dicrurus,Dicruridae
Dicrurus_caerulescens,Dicrurus,Dicruridae
Dicrurus_aeneus,Dicrurus,Dicruridae
Dicrurus_hottentottus,Dicrurus,Dicruridae
Dicrurus_paradiseus,Dicrurus,Dicruridae
Hypothymis_azurea,Hypothymis,Monarchidae
Terpsiphone_paradisi,Terpsiphone,Monarchidae
Lanius_vittatus,Lanius,Laniidae
Lanius_schach,Lanius,Laniidae
Dendrocitta_vagabunda,Dendrocitta,Corvidae
Dendrocitta_leucogastra,Dendrocitta,Corvidae
Corvus_splendens,Corvus,Corvidae
Corvus_macrorhynchos,Corvus,Corvidae
Culicicapa_ceylonensis,Culicicapa,Stenostiridae
Parus_cinereus,Parus,Paridae
Machlolophus_nuchalis,Machlolophus,Paridae
Machlolophus_aplonotus,Machlolophus,Paridae
Ammomanes_phoenicura,Ammomanes,Alaudidae
Eremopterix_griseus,Eremopterix,Alaudidae
Mirafra_affinis,Mirafra,Alaudidae
Alauda_gulgula,Alauda,Alaudidae
Galerida_malabarica,Galerida,Alaudidae
Orthotomus_sutorius,Orthotomus,Cisticolidae
Prinia_hodgsonii,Prinia,Cisticolidae
Prinia_sylvatica,Prinia,Cisticolidae
Prinia_socialis,Prinia,Cisticolidae
Prinia_inornata,Prinia,Cisticolidae
Cisticola_exilis,Cisticola,Cisticolidae
Acrocephalus_stentoreus,Acrocephalus,Acrocephalidae
Schoenicola_platyurus,Schoenicola,Locustellidae
Rubigula_gularis,Rubigula,Pycnonotidae
Pycnonotus_cafer,Pycnonotus,Pycnonotidae
Pycnonotus_jocosus,Pycnonotus,Pycnonotidae
Pycnonotus_xantholaemus,Pycnonotus,Pycnonotidae
Pycnonotus_luteolus,Pycnonotus,Pycnonotidae
Chrysomma_sinense,Chrysomma,Sylviidae
Zosterops_palpebrosus,Zosterops,Zosteropidae
Dumetia_hyperythra,Dumetia,Timaliidae
Dumetia_atriceps,Dumetia,Timaliidae
Pomatorhinus_horsfieldii,Pomatorhinus,Timaliidae
Pellorneum_ruficeps,Pellorneum,Pellorneidae
Alcippe_poioicephala,Alcippe,Leiotrichidae
Montecincla_cachinnans,Montecincla,Timaliidae
Montecincla_fairbanki,Montecincla,Timaliidae
Montecincla_meridionalis,Montecincla,Timaliidae
Argya_malcolmi,Argya,Leiotrichidae
Argya_subrufa,Argya,Leiotrichidae
Argya_striata,Argya,Leiotrichidae
Argya_affinis,Argya,Leiotrichidae
Pterorhinus_delesserti,Pterorhinus,Timaliidae
Sitta_castanea,Sitta,Sittidae
Sitta_frontalis,Sitta,Sittidae
Gracula_indica,Gracula,Sturnidae
Sturnia_pagodarum,Sturnia,Sturnidae
Sturnia_malabarica,Sturnia,Sturnidae
Sturnia_blythii,Sturnia,Sturnidae
Acridotheres_tristis,Acridotheres,Sturnidae
Acridotheres_fuscus,Acridotheres,Sturnidae
Turdus_simillimus,Turdus,Turdidae
Copsychus_fulicatus,Copsychus,Muscicapidae
Copsychus_saularis,Copsychus,Muscicapidae
Copsychus_malabaricus,Copsychus,Muscicapidae
Sholicola_major,Sholicola,Muscicapidae
Sholicola_albiventris,Sholicola,Muscicapidae
Cyornis_pallidipes,Cyornis,Muscicapidae
Cyornis_rubeculoides,Cyornis,Muscicapidae
Cyornis_tickelliae,Cyornis,Muscicapidae
Eumyias_albicaudatus,Eumyias,Muscicapidae
Eumyias_thalassinus,Eumyias,Muscicapidae
Myophonus_horsfieldii,Myophonus,Muscicapidae
Ficedula_nigrorufa,Ficedula,Muscicapidae
Phoenicurus_ochruros,Phoenicurus,Muscicapidae
Monticola_solitarius,Monticola,Muscicapidae
Saxicola_maurus,Saxicola,Muscicapidae
Oenanthe_fusca,Oenanthe,Muscicapidae
Dicaeum_agile,Dicaeum,Dicaeidae
Dicaeum_erythrorhynchos,Dicaeum,Dicaeidae
Dicaeum_concolor,Dicaeum,Dicaeidae
Leptocoma_zeylonica,Leptocoma,Nectariniidae
Leptocoma_minima,Leptocoma,Nectariniidae
Cinnyris_asiaticus,Cinnyris,Nectariniidae
Cinnyris_lotenius,Cinnyris,Nectariniidae
Aethopyga_vigorsii,Aethopyga,Nectariniidae
Arachnothera_longirostra,Arachnothera,Nectariniidae
Irena_puella,Irena,Irenidae
Chloropsis_jerdoni,Chloropsis,Chloropseidae
Chloropsis_aurifrons,Chloropsis,Chloropseidae
Ploceus_philippinus,Ploceus,Ploceidae
Euodice_malabarica,Euodice,Estrildidae
Lonchura_punctulata,Lonchura,Estrildidae
Lonchura_kelaarti,Lonchura,Estrildidae
Lonchura_striata,Lonchura,Estrildidae
Lonchura_malacca,Lonchura,Estrildidae
Amandava_amandava,Amandava,Estrildidae
Passer_domesticus,Passer,Passeridae
Gymnoris_xanthocollis,Gymnoris,Passeridae
Motacilla_cinerea,Motacilla,Motacillidae
Motacilla_maderaspatensis,Motacilla,Motacillidae
Anthus_rufulus,Anthus,Motacillidae
Anthus_nilghiriensis,Anthus,Motacillidae
Emberiza_lathami,Emberiza,Emberizidae
